6.9247,15.605,0
6.0573,8.779,0
7.1695,14.58,0
12.037,17.262,1
15.807,15.069,1
9.0167,11.263,0
12.221,19.302,1
15.005,9.3108,1
15.22,17.484,1
16.887,8.7067,1
19.172,7.6451,0
15.003,6.1207,0
16.461,15.296,1
13.873,19.544,1
7.9077,15.207,0
10.794,17.841,1
13.814,10.548,1
13.589,9.3357,0
14.132,18.585,1
15.396,9.5152,1
13.474,8.5677,0
17.935,13.16,1
10.107,9.7712,0
6.8424,8.8419,0
15.585,13.794,1
12.454,13.991,1
16.038,8.9643,1
18.623,7.7601,0
12.366,10.051,0
7.7572,12.999,0
12.276,14.562,1
17.081,11.41,1
10.422,12.626,0
10.409,13.887,1
8.0474,14.234,0
10.927,10.443,0
6.7831,19.774,0
12.835,16.182,1
14.958,8.3147,0
6.8367,15.048,0
16.78,11.262,1
10.31,9.3713,0
18.889,13.114,1
16.474,8.1237,0
10.21,9.1645,0
12.445,10.412,0
15.439,14.092,1
19.554,17.346,1
12.415,19.354,1
18.313,17.739,1
15.989,14.833,1
19.855,12.2,1
18.109,8.6781,1
6.9049,12.079,0
10.057,9.9609,0
9.9173,11.962,0
19.529,13.772,1
6.5154,19.12,0
14.85,13.965,1
14.359,15.691,1
15.079,17.152,1
7.0572,9.4041,0
11.251,7.8523,0
6.0118,9.9186,0
8.9337,13.29,0
13.312,8.2184,0
8.0915,19.507,1
9.8145,10.377,0
16.056,18.423,1
13.349,12.198,1
6.5446,8.6614,0
12.808,15.606,1
14.469,19.246,1
12.092,14.619,1
11.768,15.172,1
19.966,14.474,1
9.4529,17.695,1
10.092,15.162,1
12.091,8.5017,0
16.445,8.544,0
17.783,13.961,1
18.967,9.1389,1
13.464,13.318,1
11.448,11.903,1
16.073,18.192,1
13.694,17.119,1
8.4151,15.769,0
15.096,18.085,1
15.727,19.329,1
10.47,12.154,0
18.819,15.432,1
18.09,17.502,1
11.096,7.1141,0
14.899,16.969,1
17.969,9.0717,1
16.698,9.6761,1
8.4523,17.421,1
19.863,13.755,1
11.068,12.986,1
14.955,17.906,1
