2104,3,3.999e+05
1600,3,3.299e+05
2400,3,3.69e+05
1416,2,2.32e+05
3000,4,5.399e+05
1985,4,2.999e+05
1534,3,3.149e+05
1427,3,1.99e+05
1380,3,2.12e+05
1494,3,2.425e+05
1940,4,2.4e+05
2000,3,3.47e+05
1890,3,3.3e+05
4478,5,6.999e+05
1268,3,2.599e+05
2300,4,4.499e+05
1320,2,2.999e+05
1236,3,1.999e+05
2609,4,5e+05
3031,4,5.99e+05
1767,3,2.529e+05
1888,2,2.55e+05
1604,3,2.429e+05
1962,4,2.599e+05
3890,3,5.739e+05
1100,3,2.499e+05
1458,3,4.645e+05
2526,3,4.69e+05
2200,3,4.75e+05
2637,3,2.999e+05
1839,2,3.499e+05
1000,1,1.699e+05
2040,4,3.149e+05
3137,3,5.799e+05
1811,4,2.859e+05
1437,3,2.499e+05
1239,3,2.299e+05
2132,4,3.45e+05
4215,4,5.49e+05
2162,4,2.87e+05
1664,2,3.685e+05
2238,3,3.299e+05
2567,4,3.14e+05
1200,3,2.99e+05
852,2,1.799e+05
1852,4,2.999e+05
1203,3,2.395e+05
